River,Sample Point,Month,Year,COVID,Temp.(0C):Lab.,PH : Lab.,EC(micro S/cm),Chloride (mg/L),T. Alkalinity(mg/L),Turbidity. NTU,TS (mg/L),TDS (mg/L),SS (mg/L),DO (mg/L),BOD5 (mg/L),COD (mg/L)
Turag River," North Side of Tongi Bridge, Pagar, Tongi",1,2017,Before,18.4,7.81,557,49,260,54,359,314,45,0,28.2,113
Turag River,"Near Estema Mat, Tongi ",1,2017,Before,18.6,8.13,813,52,280,56,516,464,52,0,30.8,121
Turag River," Near Fulpukuria Dyeing Ltd, Pagar, Tongi",1,2017,Before,18.4,7.52,702,433,395,38,62,210,48,0,11.2,54
Balu River,"Near Hossain Dyeing Ltd,Pagar, Tongi",1,2017,Before,18.2,7.45,688,432,390,42,57,230,52,0,14.2,61
Balu River,"Tongi Rail Bridge, Pagar, Tongi",1,2017,Before,18.1,7.68,689,431,391,40,56,220,54,0,12.2,38
Shitalakhya River, Demra Ghat,1,2017,Before,18.8,7.24,590,314,387,73,220,38,12,0,20.4,68
Shitalakhya River, Near Ghorashal Fertilizer Factory,1,2017,Before,18.3,7.59,611,230,200,30,170,15,3.4,3.4,8.4,24
Shitalakhya River,Near ACI Factory,1,2017,Before,18.8,7.48,610,320,388,68,240,42,22,0,24.2,72
Buriganga River,Mirpur Bridge. ,1,2017,Before,18.2,7.74,745,398,360,38,45,224,38,0.2,11.2,46
Buriganga River,Hazaribagh ,1,2017,Before,18.4,7.55,741,399,359,40,47,222,42,0,7.2,28
Buriganga River,Kamrangir Char ,1,2017,Before,18.6,7.62,735,394,356,38,50,220,41,0,10.8,48
Buriganga River,Chadnighat,1,2017,Before,18.2,7.51,787,436,391,45,62,244,39,0,11.8,56
Buriganga River,Sadar Ghat,1,2017,Before,18.2,7.57,738,403,355,48,52,216,44,0.5,10.7,38
Buriganga River,Dholaikhal ,1,2017,Before,18.6,7.58,744,389,357,32,53,226,42,0,10.8,43
Buriganga River,Bangladesh China Friendship Bridge,1,2017,Before,19,7.55,744,399,359,40,54,218,42,0,13.2,41
Buriganga River,Pagla,1,2017,Before,18.8,7.61,747,409,359,50,55,220,42,0,7.8,28
Turag River,Near Gabtoli Bridge ,2,2017,Before,21,7.58,1152,49,260,120,687,542,145,0,28.2,90
Turag River,Mirpur Diabari BIWTA Landing Station  ,2,2017,Before,20.8,7.35,1153,52,280,220,805,545,260,0,30.8,84
Turag River,Asshulia BIWTA Landing Station ,2,2017,Before,21,7.69,1512,105,210,240,1015,718,297,0,28.4,82
Turag River,Tongi Istima Mat,2,2017,Before,20.6,7.59,1359,94,234,60,749,645,104,0,32.4,92
Balu River,"Near Jabar & Jubair Fabrics Ltd, Tongi",2,2017,Before,26.2,7.52,702,433,395,38,62,210,48,0,45.4,197
Balu River,"Near Hossain Dyeing Ltd, Pagar, Tongi",2,2017,Before,26.4,7.45,688,432,390,42,57,230,52,0,42.4,189
Balu River," Pagar, Tongi",2,2017,Before,26.1,7.68,689,431,391,40,56,220,54,0.25,36.4,98
Balu River,"Near Damra University College, Demra Dhaka",2,2017,Before,26.1,7.83,1012,702,506,196,73,280,250,0.18,38.2,111
Shitalakhya River,Demra Ghat,2,2017,Before,26.6,7.42,872,416,463,147,260,38,190,0,36.5,99
Shitalakhya River,Near Ghorashal Fertilizer Factory,2,2017,Before,26.8,8.11,449,228,238,10,80,15,8,6.2,2,10
Shitalakhya River,Near ACI Factory,2,2017,Before,27.2,7.48,1108,556,754,198,280,106,260,0,44.6,110
Shitalakhya River,Near Kachpur Bridge,2,2017,Before,27.4,7.83,1012,506,702,196,270,104,250,0.17,41.5,107
Buriganga River,Mirpur Bridge,2,2017,Before,20.8,7.14,904,398,484,118,49,280,75,0.2,18.6,72
Buriganga River,Hazaribagh,2,2017,Before,21,7.25,902,399,497,95,67,274,55,0,20.6,61
Buriganga River,Kamrangir Char,2,2017,Before,20.8,7.31,850,394,473,80,63,282,65,0,13.7,36
Buriganga River,Chadnighat,2,2017,Before,21.2,7.35,856,436,477,95,65,284,55,0,25,67
Buriganga River,Sadar Ghat,2,2017,Before,21.1,7.35,848,403,472,102,61,280,80,0.5,25,77
Buriganga River,Dholaikhal ,2,2017,Before,21,7.26,849,389,472,95,66,282,80,0,22.6,82
Buriganga River,Bangladesh China Friendship Bridge ,2,2017,Before,20.8,7.18,900,399,498,86,65,270,50,0,20.9,77
Buriganga River,Pagla ,2,2017,Before,20.8,7.13,764,409,423,86,63,258,80,0,24.8,59
Turag River,Near Gabtoli Bridge ,3,2017,Before,27,7.63,1219,74,286,150,678,608,170,0.73,28.2,62
Turag River,Mirpur Diabari BIWTA Landing Station  ,3,2017,Before,26.6,7.42,1345,73,278,210,818,638,180,0.89,30.8,105
Turag River,Asshulia BIWTA Landing Station ,3,2017,Before,27.6,7.64,1679,110,320,220,1069,789,280,0.46,28.4,88
Turag River,Tongi Istima Mat,3,2017,Before,27.8,7.42,1238,84,304,80,684,574,110,0.32,32.4,108
Balu River,"Near Jabar & Jubair Fabrics Ltd, Tongi",3,2017,Before,29.5,8.34,2116,1181,971,210,62,310,171,0.15,54.6,232
Balu River,"Near Hossain Dyeing Ltd, Pagar, Tongi",3,2017,Before,30.1,8.26,2433,1344,1110,234,176,318,188,0,68.8,282
Balu River,"Near Damra University College, Demra Dhaka",3,2017,Before,26.1,7.66,685,436,396,40,55,218,54,0.24,36.6,99
Balu River,"Near Balu Bridge, 300 feet Road,  Dhaka",3,2017,Before,26.1,7.85,1015,705,510,195,75,280,250,0.14,38.3,114
Shitalakhya River,Demra Ghat,3,2017,Before,26.6,7.41,874,420,465,145,260,38,185,0,36.6,95
Shitalakhya River,Near Ghorashal Fertilizer Factory,3,2017,Before,26.8,8.15,410,210,231,21,150,15,12.1,6.8,2.8,10
Shitalakhya River,Near ACI Factory,3,2017,Before,27.2,7.48,1108,556,754,198,280,106,220,0.8,44.2,104
Shitalakhya River,Near Kachpur Bridge,3,2017,Before,27.4,7.81,1016,509,701,192,260,105,248,0.15,41.5,107
Buriganga River,Mirpur Bridge,3,2017,Before,26.8,7.31,1054,656,538,118,65,280,75,0.1,28.2,88
Buriganga River,Hazaribagh,3,2017,Before,26.3,7.27,1138,684,589,95,70,274,55,0,26.2,70
Buriganga River,Kamrangir Char,3,2017,Before,26.8,7.45,1155,674,594,80,73,282,65,0,23.9,95
Buriganga River,Chadnighat,3,2017,Before,27.1,7.37,1178,700,605,95,76,284,55,0.1,31,88
Buriganga River,Sadar Ghat,3,2017,Before,27.2,7.47,1148,695,593,102,89,276,80,0.5,28.6,93
Buriganga River,Dholaikhal ,3,2017,Before,27.5,7.4,1161,694,599,95,78,282,80,0,26.7,100
Buriganga River,Bangladesh China Friendship Bridge ,3,2017,Before,26.8,7.36,1153,679,593,86,82,276,50,0,32,113
Buriganga River,Pagla ,3,2017,Before,26.9,7.48,1150,678,592,86,78,278,80,0,28.2,90
Turag River,Near Gabtoli Bridge ,4,2017,Before,29,7.43,897,60,262,32.3,509,441,68,0.68,24.2,74
Turag River,Mirpur Diabari BIWTA Landing Station  ,4,2017,Before,29.6,7.26,808,58,256,96.3,537,394,143,1.2,54,118
Turag River,Asshulia BIWTA Landing Station ,4,2017,Before,29.6,7.8,1362,135,314,48.7,781,677,74,0.56,18.4,55
Turag River,Tongi Istima Mat,4,2017,Before,29.8,7.45,845,72,238,80.6,532,410,122,0.8,29,92
Balu River,"Near Jabar & Jubair Fabrics Ltd, Tongi",4,2017,Before,30.4,8.81,1454,1181,771,95,77,430,50.7,0.15,78,164
Balu River,"Near Hossain Dyeing Ltd, Pagar, Tongi",4,2017,Before,30.1,7.66,1046,620,513,107,94,314,53.7,0,84,200
Balu River,"Near Damra University College, Demra Dhaka",4,2017,Before,29.9,7.5,685,436,396,19,54,232,9.36,2.2,12.4,36
Balu River,"Near Balu Bridge, 300 feet Road,  Dhaka",4,2017,Before,29.4,7.81,1123,568,568,39,92,354,22.7,2.2,16.4,44
Shitalakhya River,Demra Ghat,4,2017,Before,29.8,7.53,479,283,300,17,200,50,6.68,2.8,12.2,36
Shitalakhya River,Near Ghorashal Fertilizer Factory,4,2017,Before,28.9,8.18,398,200,222,22,148,13,9.45,7.2,3.1,12
Shitalakhya River,Near ACI Factory,4,2017,Before,30.4,7.48,610,310,349,39,280,56,12.1,0.8,14.8,49
Shitalakhya River,Near Kachpur Bridge,4,2017,Before,31,7.64,560,320,338,18,224,53,6.37,2.53,13.8,44
Buriganga River,Mirpur Bridge,4,2017,Before,29.6,6.72,744,421,372,49,30,180,29.7,2.4,7.5,26
Buriganga River,Hazaribagh,4,2017,Before,29.8,6.78,880,501,440,61,34,210,25.2,2.1,10.8,55
Buriganga River,Kamrangir Char,4,2017,Before,29.7,7.43,966,563,483,80,40,220,49.1,1.8,11.8,58
Buriganga River,Chadnighat,4,2017,Before,29.8,7.18,981,585,492,93,42,240,69.4,2,11.5,63
Buriganga River,Sadar Ghat,4,2017,Before,29.9,6.94,975,586,488,98,43,232,79.6,1.6,13.4,72
Buriganga River,Dholaikhal ,4,2017,Before,29.6,7.07,1073,656,537,119,44,242,129,1.8,15.4,75
Buriganga River,Bangladesh China Friendship Bridge ,4,2017,Before,29.4,7.24,1110,694,555,139,47,250,169,1.6,14.2,58
Buriganga River,Pagla ,4,2017,Before,29.8,7.36,1142,713,571,142,47,254,184,1.4,16.2,55
Turag River,Near Gabtoli Bridge ,5,2017,Before,30.9,7.49,670,60,224,22.5,379,335,44,1.08,20,38
Turag River,Mirpur Diabari BIWTA Landing Station  ,5,2017,Before,31.1,7.65,728,64,216,17.1,402,365,37,1.95,20,38
Turag River,Asshulia BIWTA Landing Station ,5,2017,Before,30.9,7.66,915,74,270,57.8,540,458,82,0.34,37,79
Turag River,Tongi Istima Mat,5,2017,Before,32,7.55,1027,81,240,52.5,606,514,92,0.27,51,130
Balu River,"Near Jabar & Jubair Fabrics Ltd, Tongi",5,2017,Before,32,7.55,1027,598,514,84,54,430,32.6,0.27,46,154
Balu River,"Near Hossain Dyeing Ltd, Pagar, Tongi",5,2017,Before,33.2,7.98,1840,1035,920,115,72,314,77.7,0.22,67,204
Balu River,"Near Damra University College, Demra Dhaka",5,2017,Before,29.9,7.5,685,415,396,90,30,232,62.4,0.6,12.4,72
Balu River,"Near Balu Bridge, 300 feet Road,  Dhaka",5,2017,Before,29.4,7.81,1123,568,568,37,28,354,17.6,1.15,16.4,45
Shitalakhya River,Demra Ghat,5,2017,Before,29.2,7.37,679,340,417,77,200,32,49.3,0.42,12.2,64
Shitalakhya River,Near Ghorashal Fertilizer Factory,5,2017,Before,28.9,7,240,120,142,22,120,8,9.45,7.2,3.1,12
Shitalakhya River,Near ACI Factory,5,2017,Before,30.2,7.57,360,180,239,59,280,18,29.2,0.9,14.8,49
Shitalakhya River,Near Kachpur Bridge,5,2017,Before,30.4,7.75,357,179.2,213,34,224,18,23.6,0.71,13.8,32
Buriganga River,Mirpur Bridge,5,2017,Before,29.8,7.55,544,421,272,31,23,130,13.9,0.5,8.8,36
Buriganga River,Hazaribagh,5,2017,Before,30.4,7.53,528,501,264,23,17,134,10.5,0.77,9.6,36
Buriganga River,Kamrangir Char,5,2017,Before,30.4,7.46,511,563,256,24,16,136,11.6,0.59,8.4,31
Buriganga River,Chadnighat,5,2017,Before,30.6,7.37,541,585,271,33,20,140,17.2,0.48,10.8,41
Buriganga River,Sadar Ghat,5,2017,Before,30.2,7.4,556,586,278,46,19,174,23.5,1.21,12.6,43
Buriganga River,Dholaikhal ,5,2017,Before,30.6,7.39,566,656,283,45,22,176,27.2,0.99,16.8,51
Buriganga River,Bangladesh China Friendship Bridge ,5,2017,Before,30.6,7.37,581,694,291,40,27,144,28.1,0.58,13.6,41
Buriganga River,Pagla ,5,2017,Before,31,7.38,590,713,295,55,20,142,32.6,0.62,18.4,67
Turag River,Near Gabtoli Bridge ,6,2017,Before,30.1,6.68,205,5,68,65.5,162,99,63,2.9,7.2,29
Turag River,Mirpur Diabari BIWTA Landing Station  ,6,2017,Before,30.4,6.72,207.4,6,58,35,127,99.7,27,5.84,5.2,27
Turag River,Asshulia BIWTA Landing Station ,6,2017,Before,30.6,7.11,210,8,62,30.2,125,100.1,25,3.51,2.4,22
Turag River,Tongi Istima Mat,6,2017,Before,30,6.74,270,8,60,77.5,204,130,74,2.48,2.7,18
Buriganga River,Mirpur Bridge,6,2017,Before,29.8,7.55,544,23,130,13.9,304,273,31,0.5,8,36
Buriganga River,Hazaribagh,6,2017,Before,30.4,7.53,528,17,134,10.5,288,265,23,0.77,9,36
Buriganga River,Kamrangir Char,6,2017,Before,30.4,7.46,541,16,136,11.6,296,272,24,0.59,7,31
Buriganga River,Chadnighat,6,2017,Before,30.2,7.37,556,20,140,17.2,311,278,33,0.48,10,41
Buriganga River,Sadar Ghat,6,2017,Before,30.6,7.4,566,19,174,23.5,330,284,46,1.4,10,43
Buriganga River,Dholaikhal ,6,2017,Before,30.6,7.39,581,22,176,27.2,336,291,45,0.99,12,51
Buriganga River,Bangladesh China Friendship Bridge ,6,2017,Before,30.4,7.37,590,27,154,28.2,335,295,40,0.58,10.8,41
Buriganga River,Pagla ,6,2017,Before,30.6,7.38,511,20,152,27,298,256,42,0.62,15.2,67
Turag River,Near Gabtoli Bridge ,7,2017,Before,30.1,7.83,141,8,90,16,92.2,73.2,19,5.1,2.1,11.8
Turag River,Mirpur Diabari BIWTA Landing Station  ,7,2017,Before,29.8,7.52,150.7,6,60,12.3,86.2,77.5,9,4.8,1.1,5
Turag River,Asshulia BIWTA Landing Station ,7,2017,Before,29.7,7.7,126.3,3,50,19,81.2,65,16,6.3,0.8,5
Turag River,Tongi Istima Mat,7,2017,Before,30.2,7.56,130.1,4,50,16.5,79.9,66.9,13,5.8,0.5,7.4
Balu River,"Near Jabar & Jubair Fabrics Ltd, Tongi",7,2017,Before,30.4,7.51,277,8,80,13,155.3,144.3,11,4.8,1.1,7
Balu River,"Near Hossain Dyeing Ltd, Pagar, Tongi",7,2017,Before,29.8,7.31,148,7,60,13.3,85.3,76.4,9,4.8,1.4,7
Balu River,"Near Damra University College, Demra Dhaka",7,2017,Before,30.1,7.18,203,10,80,20.5,119,100.9,18,3.1,3.8,26
Shitalakhya River,Demra Ghat,7,2017,Before,29.8,7.68,118.5,9,50,21.5,83.2,58.2,25,4.7,2.8,18
Shitalakhya River,Near Ghorashal Fertilizer Factory,7,2017,Before,30.2,7.23,122.2,6,56,30.4,93.9,59.9,34,5.6,1,NAN
Buriganga River,Mirpur Bridge,7,2017,Before,30,7.89,172.1,6.6,48,35.6,124,86.5,38,4.93,7.2,24
Buriganga River,Hazaribagh,7,2017,Before,30.2,6.88,163,7,50,30.2,118,82.1,36,3.94,4.8,12.4
Buriganga River,Kamrangir Char,7,2017,Before,30.2,6.8,163.7,6,50,24.2,112,82.4,30,3.47,3.6,----
Buriganga River,Chadnighat,7,2017,Before,29.9,6.94,167.1,6,52,23.2,116,84.2,32,3.63,10.8,34
Buriganga River,Sadar Ghat,7,2017,Before,29.9,6.85,168.8,7,50,25.6,118,85,33,3.49,3.8,10
Buriganga River,Dholaikhal ,7,2017,Before,29.8,6.83,165.4,7,50,17.4,106,83.1,23,3.66,6.2,14.3
Buriganga River,Bangladesh China Friendship Bridge ,7,2017,Before,30.2,6.82,164.4,7,48,20.7,106,82.5,24,3.27,5.6,24
Buriganga River,Pagla ,7,2017,Before,30.2,6.76,165.4,6,50,20.4,117,82.9,34,3.29,4.8,14.4
Turag River,Near Gabtoli Bridge ,8,2017,Before,29.8,7,131.2,6,60,36.2,104,65.7,39,4.4,1.4,7
Turag River,Mirpur Diabari BIWTA Landing Station  ,8,2017,Before,29.6,7.09,142.3,8,59,34.2,107.5,72.5,35,4.3,1.8,7
Turag River,Asshulia BIWTA Landing Station ,8,2017,Before,29.8,7.15,127.8,7,62,35,102.2,65.2,37,4.8,2.2,7
Turag River,Tongi Istima Mat,8,2017,Before,30,7.26,122.9,6,56,34.6,97.5,62.5,35,4.7,2.2,7
Balu River,"Near Damra University College, Demra Dhaka",8,2017,Before,29.8,6.94,179.3,8,64,10.2,124,92.1,32,5.2,3.8,16
Shitalakhya River,Demra Ghat,8,2017,Before,29.8,7.07,114.1,8,74,NAN,110,58.3,32,5.1,5,5
Shitalakhya River,Near ACI Factory,8,2017,Before,30.8,7.25,130.4,16,80,28.6,100,70.8,30,5.4,1.6,10
Buriganga River,Mirpur Bridge,8,2017,Before,30,7.89,164.4,10,56,35.6,120,82,38,4.08,1,NAN
Buriganga River,Hazaribagh,8,2017,Before,30.2,6.88,172.1,7,54,30.2,122,86,36,4.06,1.5,NAN
Buriganga River,Kamrangir Char,8,2017,Before,30,6.8,163,5,48,24.2,111,81,30,3.43,2.1,NAN
Buriganga River,Chadnighat,8,2017,Before,30.4,7.1,157.7,5,50,23.2,110,78,32,3.32,1.8,NAN
Buriganga River,Sadar Ghat,8,2017,Before,30.2,7.15,159.8,4,52,25.6,113,80,33,3.68,2.4,NAN
Buriganga River,Dholaikhal ,8,2017,Before,30.3,7.29,159.4,6,54,17.4,103,80,23,2.46,1.5,12
Buriganga River,Bangladesh China Friendship Bridge ,8,2017,Before,30.6,6.97,168.2,5,54,20.7,108,84,24,3.1,2.4,NAN
Buriganga River,Pagla ,8,2017,Before,30.3,7.5,160.2,6,50,20.4,114,80.8,34,3.65,2.7,NAN
Turag River,Near Gabtoli Bridge ,9,2017,Before,29.8,7.95,118.5,6,50,27.3,93.8,61.8,32,4.8,1.2,NAN
Turag River,Mirpur Diabari BIWTA Landing Station  ,9,2017,Before,29.6,7.55,136.3,12,54,25.3,100.8,71.8,29,4.7,1.4,NAN
Turag River,Asshulia BIWTA Landing Station ,9,2017,Before,29.8,7.36,116,8,46,22.6,87.4,60.4,27,4.8,2,NAN
Turag River,Tongi Istima Mat,9,2017,Before,30,7.3,116,5,48,30.4,97.1,60.1,37,4.5,1.2,NAN
Balu River,"Near Jabar & Jubair Fabrics Ltd, Tongi",9,2017,Before,29.8,7.26,192.1,8,58,22.3,126.1,100.1,26,4.7,1.2,NAN
Balu River,"Near Hossain Dyeing Ltd, Pagar, Tongi",9,2017,Before,29.5,7.24,182.2,7,60,22.8,126.2,95.2,31,4.8,2,NAN
Buriganga River,Mirpur Bridge,9,2017,Before,31,7.58,154.8,8,44,20.3,105.5,77.5,28,4.54,0.8,NAN
Buriganga River,Hazaribagh,9,2017,Before,31,7.43,161.9,8,48,16,100,81,19,3.71,1.4,NAN
Buriganga River,Kamrangir Char,9,2017,Before,31,7.36,162.7,7,46,15.9,99.4,81.4,18,3.46,2,NAN
Buriganga River,Chadnighat,9,2017,Before,31.2,7.13,151.2,6,42,16.7,95.1,76.1,19,2.18,1.2,NAN
Buriganga River,Sadar Ghat,9,2017,Before,31.7,7.13,163.7,7,46,16.8,105.1,82.1,23,3.09,1.2,NAN
Buriganga River,Dholaikhal ,9,2017,Before,31.9,7.09,166.8,7,46,10.6,94.8,83.8,11,2.88,1.2,NAN
Buriganga River,Bangladesh China Friendship Bridge ,9,2017,Before,31.7,7.25,165.4,8,44,13.2,100.6,82.6,18,3.05,2,NAN
Buriganga River,Pagla ,9,2017,Before,31,7.46,170.8,6,44,12.2,100.1,86.1,14,2.6,1.8,NAN
Turag River,Near Gabtoli Bridge ,10,2017,Before,29.8,7.47,150.6,6,38,26,103.5,75.5,28,5.12,1.2,10
Turag River,Mirpur Diabari BIWTA Landing Station  ,10,2017,Before,29.6,7.3,165.6,14,40,28.1,114.6,83.6,31,5,1.4,10
Turag River,Asshulia BIWTA Landing Station ,10,2017,Before,30.3,7.49,145.6,8,42,28,107.2,73.2,34,5.87,1.2,15
Turag River,Tongi Istima Mat,10,2017,Before,30.3,7.79,147.8,5,44,42.6,122,74.1,48,5.09,1.6,12
Balu River,"Near Jabar & Jubair Fabrics Ltd, Tongi",10,2017,Before,29.8,7.38,259,8,50,28.9,159,130,29,4.33,1.2,27
Balu River,"Near Hossain Dyeing Ltd, Pagar, Tongi",10,2017,Before,30,7.37,179.7,7,42,26.2,120,90,30,3.76,1.4,15
Balu River,"Near Damra University College, Demra Dhaka",10,2017,Before,29.8,7.28,166,8,42,19.4,100.7,83.7,17,5.2,1.2,10
Shitalakhya River,Demra Ghat,10,2017,Before,29.6,7.38,131.7,11,42,14,85.2,66.2,19,5,2.8,15
Shitalakhya River,Near Ghorashal Fertilizer Factory,10,2017,Before,29.8,7.49,121.7,8,36,36,100.2,61.2,39,5,2.4,10
Buriganga River,Mirpur Bridge,10,2017,Before,26.2,7.93,155.2,8,40,25.8,128,71.7,57,5.58,1.8,12
Buriganga River,Hazaribagh,10,2017,Before,26.6,7.23,183.2,9,42,24.6,140.4,84.4,56,4.73,2.1,12
Buriganga River,Kamrangir Char,10,2017,Before,26.3,7.28,175.2,8,60,21.6,135.1,81.1,54,3.82,1.8,10
Buriganga River,Chadnighat,10,2017,Before,26,7.67,173.5,9,46,20,132.7,80.7,52,3.33,2.4,10
Buriganga River,Sadar Ghat,10,2017,Before,26.3,7.42,175.1,9,44,19.8,134,84,53,4.57,1.8,12
Buriganga River,Dholaikhal ,10,2017,Before,27,7.42,199.6,10,42,21.9,144.2,91.2,53,3.07,1.6,27
Buriganga River,Bangladesh China Friendship Bridge ,10,2017,Before,25.9,7.6,177.6,10,44,19.9,134.8,82.8,52,3.13,2.2,10
Buriganga River,Pagla ,10,2017,Before,26.9,7.22,188.6,9,46,21,139.2,87.2,52,4.1,1.8,10
Turag River,Near Gabtoli Bridge ,11,2017,Before,26.9,7.31,155.1,8,70,18.2,106,80,26,4.8,4.8,13
Turag River,Mirpur Diabari BIWTA Landing Station  ,11,2017,Before,26.8,7.12,164.1,9,72,21.5,112.8,84.8,28,4.2,5.2,16
Turag River,Asshulia BIWTA Landing Station ,11,2017,Before,26.8,7.25,129.8,7,68,17.8,90.9,66.9,24,4.9,4.8,13
Turag River,Tongi Istima Mat,11,2017,Before,26.7,7.22,147.8,8,64,21.2,105.7,87.7,18,5.1,4.8,10
Balu River,"Near Damra University College, Demra Dhaka",11,2017,Before,28.1,7.28,166,10,72,19.4,100.7,83.7,17,5.2,1.2,10
Buriganga River,Mirpur Bridge,11,2017,Before,27.5,7.13,330,17,62,35.6,190.2,148.2,42,3.73,3.6,17
Buriganga River,Hazaribagh,11,2017,Before,28.1,7.64,323,10,56,23.7,173.8,143.4,30,2.45,2.4,10
Buriganga River,Kamrangir Char,11,2017,Before,27.8,7.62,318,10,72,19.9,157.8,136.8,21,2.08,3.2,10
Buriganga River,Chadnighat,11,2017,Before,27.8,7.71,304,25,70,16.1,161.4,143.4,18,1.75,3.6,25
Buriganga River,Sadar Ghat,11,2017,Before,27.3,7.5,315,10,72,16.7,159.1,140.1,19,2.3,2.6,10
Buriganga River,Dholaikhal ,11,2017,Before,27.1,7.6,306,13,62,16.2,157.1,140.1,17,1.43,5.6,13
Buriganga River,Bangladesh China Friendship Bridge ,11,2017,Before,27.2,7.47,301,22,62,11.3,151.2,138.2,13,2.14,8.8,22
Buriganga River,Pagla ,11,2017,Before,27.1,7.51,310,23,64,12.2,166,152,14,1.4,8.2,23
Shitalakhya River,Demra Ghat,11,2017,Before,27,7.38,131.7,6,120,19.4,83.2,66.2,17,3.8,8.2,24
Shitalakhya River,Near Ghorashal Fertilizer Factory,11,2017,Before,27,7.49,121.7,7,110,36,84.2,61.2,23,5.2,5.1,17
Shitalakhya River,Near ACI Factory,11,2017,Before,27.5,6.98,427,12,110,16.4,233.7,216.7,17,4.8,6.8,22
Turag River,Near Gabtoli Bridge ,12,2017,Before,24.8,7.69,472,21,200,18.2,260,244,16,1.2,6.4,23
Turag River,Mirpur Diabari BIWTA Landing Station  ,12,2017,Before,24.9,7.7,473,29,200,21.5,277,249,28,1,6.6,27
Turag River,Asshulia BIWTA Landing Station ,12,2017,Before,24.8,7.72,457,24,176,21.7,271,250,21,0.8,6.1,39
Turag River,Tongi Istima Mat,12,2017,Before,24.9,7.7,462,22,182,17.5,257,242,15,1.2,5.8,49
Balu River,"Near Jabar & Jubair Fabrics Ltd, Tongi",12,2017,Before,24.7,7.28,581,24,179,42.6,359,309,50,0.2,48,201
Balu River,"Near Hossain Dyeing Ltd, Pagar, Tongi",12,2017,Before,20.8,7.21,688,24,174,40.8,415,368,47,0,42,200
Balu River,"Near Damra University College, Demra Dhaka",12,2017,Before,28.1,7.28,383,21,160,16.7,221,202.1,19,0.5,7.8,44
Shitalakhya River,Demra Ghat,12,2017,Before,24.7,7.48,390,16,170,10.8,225,205.8,20,0,12.3,57
Shitalakhya River,Near Ghorashal Fertilizer Factory,12,2017,Before,24.8,7.59,273,10,76,8.6,157,145,12,3.8,5.1,17
Buriganga River,Mirpur Bridge,12,2017,Before,24.9,7.4,530,34,190,20.7,286,261,25,1.5,5.4,14.7
Buriganga River,Hazaribagh,12,2017,Before,24.1,7.2,547,34,200,17.5,301,269,32,0.8,12,27
Buriganga River,Kamrangir Char,12,2017,Before,24.2,7.4,541,33,210,14.5,289,266,23,0.4,4.8,12
Buriganga River,Chadnighat,12,2017,Before,24.1,7.05,756,32,190,28.9,440,375,64,0,18.6,56
Buriganga River,Sadar Ghat,12,2017,Before,24.1,7.28,544,30,190,9.65,303,269,34,0.7,8.4,32
Buriganga River,Dholaikhal,12,2017,Before,23.9,7.26,516,31,200,12.1,288,256,32,0.2,14.4,38
Buriganga River,Bangladesh China Friendship Bridge,12,2017,Before,23.9,7.06,520,32,210,12.5,300,267,33,0,8.6,34
Buriganga River,Pagla ,12,2017,Before,23.9,7.35,550,31,210,18.5,308,272,36,0.2,9.6,32
Turag River,Near Gabtoli Bridge ,1,2018,Before,20.1,7,597,40,164,109,482,323,159,0,33,114
Turag River,Mirpur Diabari BIWTA Landing Station  ,1,2018,Before,19.7,6.99,586,35,164,124,459,309,150,0,24,106
Turag River,Asshulia BIWTA Landing Station ,1,2018,Before,19.6,7.31,538,37,170,54.8,374,293,81,0,37,142
Turag River,Tongi Istima Mat,1,2018,Before,19.8,7.04,600,50,152,44.5,384,326,58,0,86,241
Balu River,"Near Hossain Dyeing Ltd, Pagar, Tongi",1,2018,Before,22.6,7.08,894,82,344,59,641,475,166,0,56,189
Balu River,"Near Damra University College, Demra Dhaka",1,2018,Before,21.8,7.24,817,82,280,106,587,431,156,0.5,42.6,196
Shitalakhya River,Demra Ghat,1,2018,Before,18.8,7.24,590,38,220,12,387,314,73,0,20.4,68
Shitalakhya River,Near Kachpur Bridge,1,2018,Before,18.3,7.59,611,15,170,3.4,200,230,30,3.4,8.4,24
Shitalakhya River,Near ACI Factory,1,2018,Before,18.8,7.48,610,42,240,22,388,320,68,0,24.2,72
Buriganga River,Mirpur Bridge,1,2018,Before,20.5,8.05,868,50,218,53.7,511,435,76,1.09,6.4,17
Buriganga River,Hazaribagh,1,2018,Before,20.7,7.72,761,43,198,31.4,425,382,43,1.52,8.2,25
Buriganga River,Kamrangir Char,1,2018,Before,21.6,7.58,769,45,256,29.6,424,385,39,0.93,6.8,16
Buriganga River,Chadnighat,1,2018,Before,23.5,7.42,837,60,264,73.1,501,418,83,0.67,24,57
Buriganga River,Sadar Ghat,1,2018,Before,21.4,7.54,717,45,288,40.9,404,359,45,0.85,6.8,16
Buriganga River,Dholaikhal ,1,2018,Before,23.1,7.15,826,60,228,40.9,569,414,155,0.53,8.4,27
Buriganga River,Bangladesh China Friendship Bridge ,1,2018,Before,21.9,7.32,759,50,226,100,468,380,88,1.31,12,34
Buriganga River,Pagla ,1,2018,Before,22.8,7.44,760,52,220,58.4,448,372,76,1.1,8.8,36
Turag River,Near Gabtoli Bridge ,2,2018,Before,25.4,7.57,923,56,280,67.1,564,450,114,1.25,28,69
